date,final_price,nomal_price,high_price,low_price,trade_cnt
2018.08.17,"7,410","7,400","7,450","7,300","478,162"
2018.08.16,"7,350","7,150","7,410","7,140","517,010"
2018.08.14,"7,220","7,000","7,260","7,000","567,385"
2018.08.13,"7,000","7,220","7,340","6,930","754,452"
2018.08.10,"7,300","7,240","7,360","7,140","660,455"
2018.08.09,"7,230","7,550","7,620","7,200","1,402,835"
2018.08.08,"7,570","7,710","7,770","7,570","669,768"
2018.08.07,"7,740","7,960","8,050","7,680","747,974"
2018.08.06,"7,770","7,910","7,950","7,760","409,934"
2018.08.03,"7,910","7,940","8,090","7,850","1,119,412"
2018.08.02,"7,740","7,820","7,860","7,700","276,278"
2018.08.01,"7,810","7,690","7,820","7,630","436,564"
2018.07.31,"7,640","7,620","7,740","7,510","567,715"
2018.07.30,"7,680","7,800","7,820","7,680","440,631"
2018.07.27,"7,790","7,930","7,930","7,770","488,936"
2018.07.26,"7,860","7,920","7,940","7,770","752,163"
2018.07.25,"7,860","7,840","8,180","7,790","1,544,329"
2018.07.24,"7,800","7,770","7,840","7,610","601,169"
2018.07.23,"7,740","7,690","7,950","7,610","1,409,109"
2018.07.20,"7,640","7,400","7,670","7,400","768,318"
2018.07.19,"7,390","7,550","7,600","7,310","859,718"
2018.07.18,"7,530","7,980","7,980","7,410","1,169,103"
2018.07.17,"7,940","7,970","8,080","7,900","763,003"
2018.07.16,"7,940","8,130","8,140","7,900","786,087"
2018.07.13,"8,030","7,830","8,050","7,820","966,324"
2018.07.12,"7,830","7,830","7,910","7,750","605,329"
2018.07.11,"7,790","7,780","8,070","7,700","1,221,862"
2018.07.10,"7,820","7,760","8,070","7,740","1,276,217"
2018.07.09,"7,680","7,900","7,940","7,650","1,162,990"
2018.07.06,"7,970","7,810","8,030","7,700","1,339,709"
2018.07.05,"7,730","7,990","8,010","7,590","992,468"
2018.07.04,"7,940","7,930","8,100","7,930","588,520"
2018.07.03,"8,020","7,850","8,050","7,700","1,499,923"
2018.07.02,"7,800","8,410","8,410","7,800","1,466,456"
2018.06.29,"8,370","8,160","8,430","8,070","1,015,707"
2018.06.28,"8,090","8,430","8,610","8,090","1,125,522"
2018.06.27,"8,410","8,190","8,630","8,190","1,914,674"
2018.06.26,"8,200","8,410","8,490","8,190","871,658"
2018.06.25,"8,540","8,500","8,680","8,410","1,119,781"
2018.06.22,"8,430","8,420","8,530","8,120","1,485,690"
2018.06.21,"8,450","8,700","8,760","8,420","1,152,408"
2018.06.20,"8,650","8,500","8,730","8,450","1,199,376"
2018.06.19,"8,500","8,960","9,010","8,490","1,958,859"
2018.06.18,"8,900","9,020","9,140","8,750","1,497,877"
2018.06.15,"9,070","9,500","9,580","8,820","2,980,784"
2018.06.14,"9,440","9,260","9,660","9,170","3,238,082"
2018.06.12,"9,150","9,550","9,600","9,050","2,805,570"
2018.06.11,"9,340","9,850","10,000","9,320","6,968,452"
2018.06.08,"9,000","9,470","9,470","9,000","2,126,092"
2018.06.07,"9,480","9,320","9,500","9,180","2,255,742"
2018.06.05,"9,180","9,170","9,320","9,050","1,611,732"
2018.06.04,"9,300","9,460","9,560","9,180","2,067,172"
